%"Collected By Brett Hamlin Oct 19, 2009, Calumet, MI"			
%Latitude	Longitude	Elivation (m)	Distrnce (m)
47.239429	-88.50665	364.334	6965.998
47.239325	-88.506439	361.964	6985.413
47.23928	-88.50622	362.564	7003.014
47.239372	-88.505964	363.564	7024.779
47.239381	-88.50575	364.235	7041.077
47.239336	-88.505539	362.864	7058.255
47.239241	-88.505285	362.363	7080.029
47.239161	-88.505014	362.355	7102.676
47.239041	-88.504908	361.926	7118.432
47.238891	-88.504921	362.886	7135.095
47.238692	-88.505029	364.966	7158.622
47.238536	-88.50499	364.706	7176.356
47.238347	-88.504906	362.915	7198.336
47.238215	-88.504745	364.577	7217.693
47.238172	-88.504522	364.815	7234.796
47.238144	-88.504224	365.876	7257.375
47.23811	-88.504037	367.197	7271.961
47.238088	-88.503883	368.026	7283.897
47.238101	-88.503684	368.676	7298.998
47.238143	-88.503518	370.326	7311.884
47.238147	-88.503502	370.235	7313.119
47.23813	-88.503465	370.476	7316.75
47.238152	-88.503307	370.515	7329.04
47.238177	-88.503117	371.916	7344.138
47.238185	-88.502968	372.936	7355.768
47.238274	-88.502729	373.666	7376.428
47.238282	-88.502684	374.086	7379.939
47.238289	-88.502387	374.806	7402.4
47.238273	-88.502089	377.026	7424.948
47.238263	-88.50183	377.556	7444.577
47.238263	-88.501424	377.006	7475.333
47.238246	-88.501128	377.035	7497.861
47.238224	-88.50097	379.947	7510.006
47.238166	-88.500733	381.316	7528.368
47.238107	-88.500393	380.735	7554.903
47.238094	-88.500345	380.846	7558.729
47.23818	-88.500271	382.307	7569.819
47.238304	-88.500241	380.396	7583.817
47.23855	-88.500263	377.256	7611.277
47.238797	-88.500346	371.074	7639.355
47.238972	-88.500484	368.134	7661.383
47.239269	-88.500754	364.524	7700.045
47.239324	-88.500945	362.994	7715.701
47.239436	-88.5011	361.204	7732.92
47.239505	-88.501199	361.135	7743.66
47.239566	-88.501298	361.225	7753.766
47.239715	-88.501462	362.026	7774.446
47.23984	-88.501661	363.216	7795.064
47.239885	-88.501954	363.775	7818.007
47.239852	-88.502179	363.875	7835.295
47.239771	-88.502369	363.645	7852.439
47.239777	-88.502616	363.905	7871.155
47.23972	-88.502851	364.095	7890.17
47.239622	-88.502983	364.426	7904.951
47.239482	-88.50313	364.096	7924.66
47.239355	-88.503157	365.627	7938.787
47.23929	-88.503216	365.997	7947.283
47.2392     -88.503458	368.337	7968.396
47.23927	-88.503791	369.766	7992.541
47.239338	-88.504128	367.775	8019.195
47.239372	-88.504716	363.064	8063.99
47.239491	-88.505115	360.184	8097.007
47.239594	-88.505321	358.244	8116.389
47.239722	-88.505566	357.454	8139.718
47.239866	-88.505683	356.164	8158.394
47.239933	-88.505653	355.834	8166.148
47.240124	-88.505453	356.374	8192.405
47.240108	-88.505187	359.316	8212.637
47.239991	-88.505038	361.335	8230.011
47.239839	-88.504943	362.255	8248.631
47.239824	-88.504699	361.775	8267.099
47.239921	-88.50451	362.445	8284.764
47.240047	-88.504479	364.266	8299.317
47.240133	-88.504578	362.275	8311.258
47.240197	-88.504722	360.094	8324.255
47.240194	-88.504687	361.974	8325.686
47.240216	-88.504645	362.895	8330.131
47.240333	-88.504632	363.215	8343.191
47.240452	-88.504517	365.596	8359.305
47.240589	-88.504368	366.505	8378.488
47.240746	-88.504323	366.955	8396.378
47.240933	-88.504366	361.673	8417.183
47.24095	-88.504367	359.784	8419.536
47.240962	-88.504503	358.505	8429.816
47.240906	-88.504609	359.116	8439.942
47.240771	-88.504637	359.086	8455.245
47.240659	-88.504749	361.216	8470.118
47.240541	-88.504786	359.976	8483.344
47.240486	-88.504802	359.815	8489.562
47.240433	-88.504938	359.775	8501.531
47.240485	-88.505146	358.365	8518.072
47.240569	-88.50545	359.585	8542.913
47.240542	-88.505691	361.786	8561.558
47.240525	-88.50584	362.395	8573.072
47.240485	-88.505924	361.766	8580.864
47.240351	-88.506247	360.016	8609.414
47.240292	-88.506336	360.066	8618.82
47.240257	-88.506466	359.285	8629.874
47.240184	-88.506576	358.855	8641.248
47.240052	-88.506611	358.876	8656.056
47.240001	-88.50677	359.866	8669.204
47.239892	-88.506947	359.515	8687.558
47.239775	-88.507079	358.464	8704.103
47.23973	-88.50728	357.344	8719.943
47.239628	-88.507504	357.945	8740.346
47.239621	-88.507551	357.895	8743.934
47.239684	-88.507801	359.244	8763.971
47.239765	-88.508032	360.936	8783.563
47.239957	-88.508109	358.794	8806.459
47.240042	-88.508074	358.784	8816.211
47.240201	-88.507997	354.593	8834.731
47.240391	-88.508042	353.203	8857.199
47.240415	-88.508096	353.363	8862.064
47.240514	-88.508255	352.093	8878.631
47.240708	-88.508241	351.813	8900.16
47.240844	-88.508378	350.903	8919.082
47.240985	-88.508449	350.453	8935.904
47.24103	-88.508477	349.573	8941.294
47.241249	-88.508686	348.254	8970.326
47.241418	-88.508803	349.094	8991.101
47.24162	-88.509024	346.803	9019.441
47.241717	-88.509202	343.882	9036.705
47.241905	-88.509325	343.912	9059.602
47.241952	-88.509317	343.743	9064.323
47.242071	-88.509508	339.072	9083.316
47.242349	-88.509866	335.531	9124.224
47.242495	-88.510093	334.833	9147.834
47.242522	-88.510145	334.823	9152.752
47.242701	-88.510624	333.522	9194.085
47.242678	-88.510875	332.582	9214.248
47.242542	-88.51116	331.492	9240.901
47.242538	-88.511434	330.952	9262.098
47.242637	-88.511581	331.003	9277.931
47.242715	-88.51173	331.153	9292.49
47.242673	-88.511925	330.713	9308.088
47.242552	-88.512309	330.012	9340.185
47.24252	-88.512561	329.922	9359.646
47.242528	-88.512681	330.162	9368.772
47.242494	-88.512992	330.292	9392.649
47.242482	-88.513201	330.072	9408.528
47.242511	-88.513502	329.592	9431.571
47.24254	-88.513622	328.991	9441.179
47.242661	-88.513887	328.061	9465.758
47.242753	-88.513908	328.032	9476.109
47.242877	-88.513928	328.842	9489.966
47.242967	-88.514134	327.981	9508.993
47.243089	-88.51438	327.412	9533.173
47.243266	-88.514397	326.972	9553.141
47.24336	-88.514276	328.132	9567.23
47.243378	-88.514176	328.963	9575.134
47.243335	-88.513879	331.323	9598.301
47.2433     -88.513707	332.633	9612.043
47.243283	-88.5135	333.183	9628.095
47.2432     -88.513356	333.193	9642.382
47.243058	-88.513107	332.922	9667.056
47.243042	-88.512988	332.702	9676.215
47.243152	-88.512678	333.112	9702.878
47.243256	-88.512364	334.112	9729.594
47.243211	-88.512191	334.622	9743.823
47.243209	-88.511916	334.442	9764.732
47.243223	-88.511664	334.742	9783.918
47.243246	-88.511493	335.042	9797.163
47.243314	-88.511487	335.642	9807.312
47.243371	-88.511617	335.972	9819.063
47.243524	-88.511773	337.172	9840.126
47.243722	-88.511831	339.133	9862.68
47.243767	-88.511731	340.074	9872.309
47.243749	-88.511636	340.663	9879.792
47.243665	-88.511449	342.214	9896.754
47.243716	-88.511403	342.563	9905.707
47.24374	-88.511432	342.474	9909.163
47.243884	-88.511694	341.093	9934.553
47.243978	-88.511841	339.933	9949.655
47.244079	-88.511936	338.273	9963.125
47.244199	-88.511947	339.523	9976.375
47.244435	-88.511841	338.803	10003.736
47.24455	-88.511779	338.643	10017.292
47.244676	-88.511776	338.253	10031.449
47.244817	-88.511906	337.953	10049.974
47.244972	-88.5121	336.353	10072.681
47.245109	-88.512213	334.312	10090.064
47.245171	-88.512293	333.272	10099.161
47.245376	-88.512433	329.811	10124.412
47.245401	-88.512515	328.51	10131.214
47.245402	-88.512537	327.842	10132.878
47.245388	-88.512622	327.664	10139.455
47.245253	-88.512706	329.304	10156.089
47.245148	-88.512719	330.454	10167.697
47.244974	-88.512703	332.134	10187.133
47.244909	-88.512695	332.665	10194.233
47.244774	-88.512636	333.604	10209.85
47.244656	-88.512627	335.525	10222.968
47.244476	-88.512663	336.734	10243.227
47.244284	-88.512656	337.464	10264.505
47.24414	-88.512612	339.344	10280.804
47.24411	-88.512605	340.514	10284.141
47.243992	-88.512626	342.595	10296.627
47.243883	-88.512755	345.325	10311.977
47.24383	-88.512873	345.625	10321.88
47.243764	-88.513123	344.505	10342.226
