%"Collected By Brett Hamlin Nov 09, 2009, Hancock, MI"			
%Latitude	Longitude	Elivation (m)	Distrnce (m)
47.157879	-88.619774	268.09	5256.934
47.157909	-88.620072	268.361	5279.739
47.157955	-88.620226	269.861	5292.321
47.158092	-88.620502	268.671	5318.191
47.158106	-88.620625	266.001	5327.08
47.158005	-88.62056	265.271	5339.293
47.157835	-88.620372	269.172	5363.164
47.157755	-88.620284	267.522	5374.288
47.157682	-88.620218	267.522	5383.625
47.15761	-88.620343	265.411	5395.933
47.15763	-88.620574	264.281	5414.162
47.157751	-88.620606	263.961	5427.775
47.15787	-88.620649	263.871	5441.857
47.157932	-88.620725	263.251	5450.842
47.158053	-88.620822	260.72	5466.151
47.158241	-88.62093	256.919	5488.597
47.158346	-88.620841	254.309	5502.969
47.158382	-88.620804	252.949	5507.765
47.158494	-88.620713	251.119	5521.655
47.158478	-88.620827	252.69	5531.431
47.158444	-88.620953	250.189	5541.617
47.158366	-88.621266	248.289	5566.92
47.158513	-88.621481	248.76	5590.503
47.158677	-88.621544	247.789	5609.279
47.158797	-88.621591	244.739	5623.14
47.158896	-88.621622	245.719	5634.279
47.159013	-88.621747	251.952	5650.586
47.15917	-88.621786	249.001	5668.416
47.159184	-88.621777	249.272	5669.669
47.15926	-88.621694	250.982	5679.748
47.159327	-88.621694	252.162	5687.541
47.159401	-88.621819	257.504	5700.59
47.15941	-88.621934	263.075	5709.405
47.159483	-88.622047	264.024	5721.597
47.159609	-88.622175	263.313	5738.669
47.159658	-88.622223	263.652	5745.249
47.159706	-88.622348	264.232	5756.132
47.159786	-88.622538	263.941	5773.088
47.159894	-88.622627	261.88	5787.046
47.160043	-88.622697	258.401	5804.347
47.160075	-88.622599	255.091	5813.665
47.160028	-88.622568	253.861	5819.241
47.159914	-88.622476	255.182	5834.272
47.159878	-88.62236	257.212	5843.994
47.159817	-88.622249	259.192	5854.811
47.159727	-88.622038	261.392	5873.757
47.159687	-88.621795	259.741	5892.83
47.159677	-88.62157	260.841	5910.06
47.159674	-88.621538	260.661	5912.476
47.159556	-88.621426	260.381	5927.973
47.159391	-88.621261	259.482	5950.509
47.159316	-88.621045	259.701	5968.884
47.159311	-88.62074	263.452	5992.17
47.159295	-88.620492	266.272	6010.955
47.159295	-88.620277	266.852	6027.32
47.159307	-88.620098	267.822	6040.984
47.15931	-88.619887	268.251	6057.218
47.159275	-88.61965	270.022	6075.709
47.159274	-88.619443	272.062	6091.603
47.159352	-88.619226	272.673	6110.316
47.159364	-88.619049	274.953	6123.834
47.159359	-88.618786	277.053	6143.821
47.159312	-88.618551	276.222	6162.483
47.159246	-88.61828	276.602	6184.394
47.15916	-88.617973	277.062	6209.671
47.158995	-88.617696	277.813	6237.49
47.158908	-88.61747	276.582	6257.265
47.158829	-88.617153	276.022	6282.882
47.158761	-88.617017	277.222	6295.716
47.158771	-88.61681	278.033	6311.643
47.158772	-88.616767	278.203	6314.907
47.158726	-88.616589	278.923	6329.533
47.158693	-88.616434	280.614	6341.835
47.158655	-88.61623	281.573	6357.867
47.15865	-88.616205	282.543	6359.817
47.158708	-88.616127	284.013	6368.748
47.158787	-88.616013	283.583	6380.699
47.158982	-88.615997	282.323	6402.1
47.159196	-88.616047	282.893	6426.153
47.159428	-88.61604	281.232	6451.974
47.159581	-88.615975	280.992	6470.059
47.159641	-88.615817	280.483	6483.756
47.159772	-88.615561	280.753	6508.148
47.159898	-88.615416	280.993	6526.101
47.160001	-88.615244	281.823	6543.838
47.160049	-88.615097	283.033	6556.238
47.160118	-88.614868	284.113	6575.237
47.160206	-88.614669	284.703	6593.158
47.160255	-88.614458	286.623	6610.149
47.160238	-88.614278	288.744	6623.946
47.160208	-88.61403	290.924	6643.05
47.160182	-88.61382	292.545	6659.25
47.160157	-88.61361	294.536	6675.55
47.160078	-88.613391	296.095	6694.382
47.160059	-88.613222	296.074	6707.378
47.160144	-88.613091	296.054	6721.368
47.160352	-88.613027	292.753	6745.58
47.160526	-88.613124	291.923	6766.236
47.160553	-88.613132	291.933	6769.269
47.160722	-88.613052	290.924	6789.018
47.160751	-88.613042	290.723	6792.317
47.160757	-88.613042	290.913	6792.989
47.160745	-88.612914	293.005	6802.854
47.160642	-88.612604	295.046	6828.952
47.160515	-88.612281	295.855	6857.229
47.160392	-88.612029	296.584	6880.73
47.16024	-88.611727	298.865	6909.242
47.160128	-88.611469	300.285	6932.453
47.160119	-88.611414	301.105	6936.558
47.160194	-88.611366	299.844	6946.271
47.160456	-88.611325	298.264	6975.601
47.160742	-88.611248	297.514	7007.969
47.160853	-88.611184	297.364	7021.266
47.161036	-88.610954	297.065	7048.815
47.161063	-88.610793	298.085	7061.422
47.161132	-88.610441	299.065	7089.667
47.161158	-88.610241	300.195	7105.073
47.161228	-88.60995	301.345	7128.699
47.161325	-88.60974	302.356	7148.088
47.161456	-88.609557	302.705	7168.187
47.161572	-88.609347	303.495	7188.765
47.161691	-88.609246	304.626	7204.288
47.161913	-88.609157	303.465	7229.817
47.161983	-88.608991	304.175	7245.361
47.162009	-88.608845	304.635	7256.779
47.162127	-88.608772	304.065	7271.662
47.162189	-88.608821	303.715	7279.551
47.162324	-88.608973	302.635	7298.407
47.162493	-88.609034	301.685	7318.518
47.162787	-88.608895	300.385	7352.896
47.163145	-88.608812	298.695	7393.228
47.163286	-88.608809	298.105	7408.904
47.163427	-88.608826	297.565	7424.639
47.163619	-88.608795	296.875	7446.204
47.163715	-88.608741	296.405	7457.553
47.163997	-88.60864	295.765	7489.886
47.164337	-88.608657	295.895	7527.771
47.164386	-88.60866	295.805	7533.266
47.16458	-88.60862	295.415	7555.031
47.16477	-88.608602	295.305	7576.169
47.164968	-88.608656	294.315	7598.848
47.165157	-88.608628	293.635	7620.783
47.165282	-88.608425	293.546	7641.592
47.165392	-88.608231	293.926	7660.955
47.165434	-88.608201	293.816	7666.052
47.165623	-88.608081	292.695	7689.016
47.165732	-88.608041	292.235	7701.444
47.165941	-88.607959	291.886	7726.005
47.16613	-88.607778	291.815	7751.717
47.166473	-88.607771	289.414	7789.931
47.166803	-88.607753	286.484	7826.64
47.166989	-88.607798	285.755	7847.674
47.167064	-88.607753	284.964	7857.766
47.167054	-88.60771	284.805	7861.156
47.16707	-88.607482	284.235	7880.592
47.167189	-88.607478	283.094	7893.911
47.167328	-88.607636	281.434	7913.8
47.167444	-88.607825	280.074	7932.986
47.167607	-88.608031	277.835	7957.081
47.167792	-88.60804	277.475	7978.354
47.167921	-88.608091	277.995	7994.045
47.168029	-88.608254	277.036	8012.017
47.168204	-88.608477	278.857	8039.326
47.168238	-88.608709	279.277	8057.305
47.168255	-88.608828	279.447	8066.487
47.168421	-88.608899	280.327	8087.237
47.168519	-88.608964	283.068	8101.141
47.168614	-88.60915	282.847	8119.562
47.168777	-88.609209	282.037	8138.807
47.168879	-88.609199	278.356	8150.094
47.169041	-88.609121	275.926	8169.617
47.169273	-88.608989	275.467	8197.73
47.169527	-88.608845	275.447	8227.927
47.169751	-88.608699	278.398	8255.316
47.169866	-88.608698	279.238	8268.184
47.170017	-88.608644	279.417	8285.427
47.170191	-88.608656	281.588	8304.81
47.170411	-88.608691	282.898	8329.868
47.170577	-88.608687	283.368	8348.245
47.170636	-88.608652	284.618	8355.421
47.170772	-88.608566	288.529	8371.944
47.170889	-88.608552	287.008	8385.104
47.170964	-88.608532	287.638	8393.557
47.171133	-88.608438	288.198	8413.812
47.171162	-88.608431	288.578	8416.983
47.171394	-88.608407	291.088	8442.758
47.171561	-88.608368	291.388	8461.785
47.171588	-88.608342	291.138	8465.284
47.171615	-88.608203	291.369	8476.505
47.171647	-88.608168	290.297	8479.458
47.171576	-88.608167	295.518	8488.104
47.171558	-88.608055	295.278	8496.644
47.171516	-88.607791	298.3	8517.011
47.171504	-88.607734	299.56	8521.504
47.171489	-88.607585	302.882	8532.896
47.171438	-88.607329	307.512	8553.109
47.171374	-88.607035	307.79	8576.542
47.171302	-88.606793	305.777	8596.579
47.171189	-88.606479	296.533	8623.484
47.171083	-88.606197	292.385	8647.795
47.171005	-88.605954	294.817	8668.012
47.170863	-88.605672	296.348	8694.49
47.170827	-88.605601	295.798	8701.108
47.17072	-88.605307	295.418	8726.396
47.170544	-88.604964	298.149	8758.712
47.170511	-88.604911	296.728	8764.1
47.170377	-88.604416	287.776	8805.087
47.170392	-88.60412	289.759	8827.607
47.170419	-88.603878	292.41	8846.186
47.170404	-88.603712	294.03	8858.921
47.170399	-88.603513	295	8874.085
47.1704	-88.603263	298.031	8892.976
47.170372	-88.602987	303.041	8914.107
47.170313	-88.602647	307.192	8940.8
47.170271	-88.6024	308.651	8959.938
47.170249	-88.602156	310.303	8978.491
47.170209	-88.601873	313.281	9000.395
47.170165	-88.60163	316.192	9019.444
47.170118	-88.601391	315.501	9038.137
47.170149	-88.601066	312.119	9062.971
47.170207	-88.600655	311.51	9094.812
47.170203	-88.600453	311.951	9110.328
47.170094	-88.600371	311.13	9124.111
47.170065	-88.600376	310.769	9127.391
47.169854	-88.600406	311.141	9151.031
47.169668	-88.600396	311.871	9171.844
47.169531	-88.600375	312.341	9187.349
47.169356	-88.600526	311.11	9209.884
47.169233	-88.600582	310.23	9224.118
47.169082	-88.600799	309.169	9248.154
47.169068	-88.600853	308.829	9252.54
47.168908	-88.601266	308.079	9288.726
47.168686	-88.601669	306.209	9328.009
47.168507	-88.601992	305.409	9359.591
47.168382	-88.602265	305.049	9384.524
47.168152	-88.602501	304.029	9416.092
47.167885	-88.602652	304.93	9447.996
47.167535	-88.602813	306.431	9488.856
47.167451	-88.602855	307.312	9498.633
47.167293	-88.602982	307.501	9518.669
47.167111	-88.603191	305.247	9544.416
47.167003	-88.603288	303.997	9558.487
47.166824	-88.603384	302.547	9579.747
47.166584	-88.603307	302.068	9607.446
47.166464	-88.603111	301.918	9628.013
47.166479	-88.602888	302.569	9645.462
47.166524	-88.602812	303.059	9653.146
47.166609	-88.60263	304.369	9670.046
47.166587	-88.602409	306.45	9687.912
47.166551	-88.602321	307.791	9695.706
47.166395	-88.602089	313.154	9720.499
47.166335	-88.602059	314.381	9727.497
47.16623	-88.602104	313.73	9739.715
47.166139	-88.602226	312.159	9753.398
47.165977	-88.602321	309.428	9773.259
47.165822	-88.602239	307.406	9791.608
47.165704	-88.60208	305.957	9809.475
47.165613	-88.601834	305.458	9830.661
47.16561	-88.601773	305.859	9835.258
47.165581	-88.601473	306.749	9858.49
47.16552	-88.601306	306.929	9872.897
47.165403	-88.600942	307.57	9903.469
47.165295	-88.600723	309.77	9923.958
47.165219	-88.600667	309.069	9933.43
47.165113	-88.600489	307.629	9951.805
47.165103	-88.600456	308.29	9954.602
47.165076	-88.600428	305.338	9958.321
47.165055	-88.60036	307.83	9964.64
47.165051	-88.600335	308.42	9966.59
47.16494	-88.60028	308.859	9980.566
47.164915	-88.600299	308.029	9983.656
47.164848	-88.600455	304.779	9998.106
47.164832	-88.600643	302.078	10012.557
47.164821	-88.600868	300.278	10029.573
47.164784	-88.601	300.899	10040.261
47.164718	-88.601176	306.482	10055.376
47.164692	-88.60131	305.61	10065.655
47.164631	-88.601278	305	10074.75
47.164575	-88.600955	306.13	10100.139
47.1645	-88.600769	307.321	10116.779
47.164321	-88.600582	306.85	10141.295
47.164195	-88.600392	306.92	10161.397
47.164175	-88.600126	303.787	10182.403
47.164177	-88.599925	301.878	10198.303
47.164043	-88.599808	300.768	10215.791
47.163905	-88.599694	299.898	10233.418
47.163829	-88.599684	299.868	10241.95
47.163506	-88.599699	300.229	10277.98
47.163321	-88.599706	300.87	10298.524
47.163231	-88.599569	303.461	10313.421
47.16313	-88.5994	305.461	10330.491
47.163039	-88.59922	308.453	10347.335
47.162868	-88.598983	310.511	10373.805
47.162843	-88.59894	311.381	10377.997
47.162675	-88.598827	316.452	10398.613
47.162614	-88.598733	315.381	10408.397
47.162465	-88.59834	312.209	10442.482
47.162385	-88.598105	308.688	10462.292
47.162052	-88.597591	302.959	10516.025
47.161929	-88.597407	301.419	10535.601
47.161725	-88.597191	300.96	10563.593
47.16164	-88.597008	302.941	10580.46
47.161516	-88.596573	308.953	10616.316
47.161392	-88.596491	311.183	10631.51
47.16133	-88.596365	312.113	10643.263
47.161148	-88.596228	313.342	10666.605
47.161002	-88.596294	311.911	10683.973
47.160873	-88.596515	310.09	10706.003
47.160845	-88.596618	309.099	10714.44
47.16071	-88.59685	307.179	10737.865
47.160323	-88.597202	302.578	10788.492
47.160103	-88.597342	303.36	10815.238
47.159877	-88.597203	306.131	10842.693
47.159661	-88.597019	307.791	10870.871
47.159621	-88.597007	308.232	10875.353
47.159416	-88.597065	309.181	10898.794
47.159214	-88.597133	310.891	10921.984
47.158994	-88.597165	311.03	10946.492
47.158738	-88.597179	309.419	10974.973
47.158698	-88.597179	308.998	10979.491
47.158511	-88.597317	307.397	11003.53
47.158215	-88.597757	305.077	11050.426
47.157918	-88.598059	304.038	11090.729
47.157532	-88.598286	304.498	11137.013
47.157167	-88.598379	304.889	11178.171
47.156714	-88.598465	305.349	11229.038
47.15636	-88.598482	307.12	11268.394
47.15621	-88.598494	307.669	11285.11
47.15608	-88.598619	307.268	11303.048
47.156055	-88.59877	306.928	11315.29
47.156149	-88.599009	306.697	11336.235
47.156356	-88.599459	306.097	11377.371
